challenges	species	sample	library_prep	platform	run_acc	replicate	biosample	sizes	file_contents	file_type	file_acc	paired_acc	file_url	paired_url	file_s3_uri	paired_s3_uri
1,2	human	WTC11	CapTrap	ONT	ENCSR054ABL	3	ENCBS474NOC		reads	fastq	ENCFF104BNW		https://www.encodeproject.org/files/ENCFF104BNW/@@download/ENCFF104BNW.fastq.gz		s3://encode-files/2021/04/10/a83f5e2f-43e6-4e1e-aedc-2f17224d7229/ENCFF104BNW.fastq.gz	
1,2	human	WTC11	CapTrap	ONT	ENCSR054ABL	3	ENCBS474NOC		nanopore_signal	tar	ENCFF053QEQ		https://www.encodeproject.org/files/ENCFF053QEQ/@@download/ENCFF053QEQ.tar.gz		s3://encode-private/2021/04/10/dddc75de-7603-4627-9764-7cc9f1b69579/ENCFF053QEQ.tar.gz	
1,2	human	WTC11	dRNA	ONT	ENCSR392BGY	1	ENCBS944CBA		reads	fastq	ENCFF155CFF		https://www.encodeproject.org/files/ENCFF155CFF/@@download/ENCFF155CFF.fastq.gz		s3://encode-public/2021/04/07/6b54b9f1-6612-447c-8421-c7ad431063c6/ENCFF155CFF.fastq.gz	
1,2	human	WTC11	dRNA	ONT	ENCSR392BGY	1	ENCBS944CBA		nanopore_signal	tar	ENCFF146MTW		https://www.encodeproject.org/files/ENCFF146MTW/@@download/ENCFF146MTW.tar.gz		s3://encode-public/2021/04/07/7e19cd87-1199-4efd-94da-21349ad7b30b/ENCFF146MTW.tar.gz	
1,2	human	WTC11	dRNA	ONT	ENCSR392BGY	2	ENCBS593PKA		reads	fastq	ENCFF771DIX		https://www.encodeproject.org/files/ENCFF771DIX/@@download/ENCFF771DIX.fastq.gz		s3://encode-public/2021/05/06/15245caa-8521-4821-ab0a-541f4ac51069/ENCFF771DIX.fastq.gz	
1,2	human	WTC11	dRNA	ONT	ENCSR392BGY	2	ENCBS593PKA		nanopore_signal	tar	ENCFF389XGB		https://www.encodeproject.org/files/ENCFF389XGB/@@download/ENCFF389XGB.tar.gz		s3://encode-public/2021/05/06/498793b0-c258-41b7-b134-4a1626937b40/ENCFF389XGB.tar.gz	
1,2	human	WTC11	dRNA	ONT	ENCSR392BGY	3	ENCBS474NOC		reads	fastq	ENCFF600LIU		https://www.encodeproject.org/files/ENCFF600LIU/@@download/ENCFF600LIU.fastq.gz		s3://encode-public/2021/04/07/e81c19d1-77be-4e89-a2c8-853c6aad3d3d/ENCFF600LIU.fastq.gz	
1,2	human	WTC11	dRNA	ONT	ENCSR392BGY	3	ENCBS474NOC		nanopore_signal	tar	ENCFF591QYR		https://www.encodeproject.org/files/ENCFF591QYR/@@download/ENCFF591QYR.tar.gz		s3://encode-public/2021/04/07/a4092f54-9463-4256-afb4-9cccf1d7bb29/ENCFF591QYR.tar.gz	
1,2	human	WTC11	R2C2	ONT	ENCSR259DBL	1	ENCBS944CBA	2000-10000	reads	fasta	ENCFF153SIE		https://www.encodeproject.org/files/ENCFF153SIE/@@download/ENCFF153SIE.fasta.gz		s3://encode-files/2021/04/14/62fa8c03-d99a-4112-b4ae-bfb570e27d94/ENCFF153SIE.fasta.gz	
1,2	human	WTC11	R2C2	ONT	ENCSR259DBL	1	ENCBS944CBA	2000-10000	reads	fastq	ENCFF178BYM		https://www.encodeproject.org/files/ENCFF178BYM/@@download/ENCFF178BYM.fastq.gz		s3://encode-files/2021/04/14/f8d533c7-87b9-4452-95ed-7d82328b742c/ENCFF178BYM.fastq.gz	
1,2	human	WTC11	R2C2	ONT	ENCSR259DBL	2	ENCBS593PKA	2000-10000	reads	fasta	ENCFF377IEH		https://www.encodeproject.org/files/ENCFF377IEH/@@download/ENCFF377IEH.fasta.gz		s3://encode-files/2021/04/14/67c63f81-b5a5-448f-bba7-7bda76c55106/ENCFF377IEH.fasta.gz	
1,2	human	WTC11	R2C2	ONT	ENCSR259DBL	2	ENCBS593PKA	2000-10000	reads	fastq	ENCFF063ASB		https://www.encodeproject.org/files/ENCFF063ASB/@@download/ENCFF063ASB.fastq.gz		s3://encode-files/2021/04/14/5b00f40e-ce35-427b-af01-2f7e715be54c/ENCFF063ASB.fastq.gz	
1,2	human	WTC11	R2C2	ONT	ENCSR259DBL	3	ENCBS474NOC	2000-10000	reads	fasta	ENCFF489PQQ		https://www.encodeproject.org/files/ENCFF489PQQ/@@download/ENCFF489PQQ.fasta.gz		s3://encode-files/2021/04/14/f9976350-5735-422a-8c08-50ca1a110cff/ENCFF489PQQ.fasta.gz	
1,2	human	WTC11	R2C2	ONT	ENCSR259DBL	3	ENCBS474NOC	2000-10000	reads	fastq	ENCFF408XXR		https://www.encodeproject.org/files/ENCFF408XXR/@@download/ENCFF408XXR.fastq.gz		s3://encode-files/2021/04/14/762c2d80-99d1-4a22-99d5-9f6b83dee500/ENCFF408XXR.fastq.gz	
1,2	human	WTC11	R2C2	ONT	ENCSR925UQZ	1	ENCBS944CBA		reads	fasta	ENCFF089IVT		https://www.encodeproject.org/files/ENCFF089IVT/@@download/ENCFF089IVT.fasta.gz		s3://encode-files/2021/04/14/6b9a3d06-19af-43a5-8182-06abb039580c/ENCFF089IVT.fasta.gz	
1,2	human	WTC11	R2C2	ONT	ENCSR925UQZ	1	ENCBS944CBA		reads	fastq	ENCFF542VPN		https://www.encodeproject.org/files/ENCFF542VPN/@@download/ENCFF542VPN.fastq.gz		s3://encode-files/2021/04/14/bd282e3b-b23e-4762-8e9f-63858b71f65f/ENCFF542VPN.fastq.gz	
1,2	human	WTC11	R2C2	ONT	ENCSR925UQZ	2	ENCBS593PKA		reads	fasta	ENCFF548RZB		https://www.encodeproject.org/files/ENCFF548RZB/@@download/ENCFF548RZB.fasta.gz		s3://encode-files/2021/04/14/bb8c7fe3-af2d-4bfd-98d1-6d2b3c4989d0/ENCFF548RZB.fasta.gz	
1,2	human	WTC11	R2C2	ONT	ENCSR925UQZ	2	ENCBS593PKA		reads	fastq	ENCFF679LUJ		https://www.encodeproject.org/files/ENCFF679LUJ/@@download/ENCFF679LUJ.fastq.gz		s3://encode-files/2021/04/14/180f8f55-734f-4742-be81-007603d600b9/ENCFF679LUJ.fastq.gz	
1,2	human	WTC11	R2C2	ONT	ENCSR925UQZ	3	ENCBS474NOC		reads	fasta	ENCFF997UNC		https://www.encodeproject.org/files/ENCFF997UNC/@@download/ENCFF997UNC.fasta.gz		s3://encode-files/2021/04/14/1f03d2e3-e435-4b6b-8c3d-d1cd7644c69e/ENCFF997UNC.fasta.gz	
1,2	human	WTC11	R2C2	ONT	ENCSR925UQZ	3	ENCBS474NOC		reads	fastq	ENCFF357UQD		https://www.encodeproject.org/files/ENCFF357UQD/@@download/ENCFF357UQD.fastq.gz		s3://encode-files/2021/04/14/fc38a8ad-f821-4af0-afd6-201448f70cd2/ENCFF357UQD.fastq.gz	
1,2	human	WTC11	cDNA	Illumina	ENCSR673UKZ	1	ENCBS944CBA		reads	fastq	ENCFF766OAK	ENCFF644AQW	https://www.encodeproject.org/files/ENCFF766OAK/@@download/ENCFF766OAK.fastq.gz	https://www.encodeproject.org/files/ENCFF644AQW/@@download/ENCFF644AQW.fastq.gz	s3://encode-private/2021/04/02/96324426-1cc6-45d0-8256-250c8a7db572/ENCFF766OAK.fastq.gz	s3://encode-private/2021/04/02/c5b529b2-9868-4021-8e73-1368483620de/ENCFF644AQW.fastq.gz
1,2	human	WTC11	cDNA	Illumina	ENCSR673UKZ	2	ENCBS593PKA		reads	fastq	ENCFF198RQU	ENCFF620HBM	https://www.encodeproject.org/files/ENCFF198RQU/@@download/ENCFF198RQU.fastq.gz	https://www.encodeproject.org/files/ENCFF620HBM/@@download/ENCFF620HBM.fastq.gz	s3://encode-private/2021/04/02/8e791e2d-1748-459d-b018-146ebcabdd20/ENCFF198RQU.fastq.gz	s3://encode-private/2021/04/02/14a84858-0dab-4ba8-a264-20620e803e68/ENCFF620HBM.fastq.gz
1,2	human	WTC11	cDNA	Illumina	ENCSR673UKZ	3	ENCBS474NOC		reads	fastq	ENCFF247XJT	ENCFF785SWH	https://www.encodeproject.org/files/ENCFF247XJT/@@download/ENCFF247XJT.fastq.gz	https://www.encodeproject.org/files/ENCFF785SWH/@@download/ENCFF785SWH.fastq.gz	s3://encode-private/2021/04/02/e2ec877d-331f-4cc8-b666-9ad9ced037ea/ENCFF247XJT.fastq.gz	s3://encode-private/2021/04/02/ffa0415f-a66d-48cc-b89d-92e317a14641/ENCFF785SWH.fastq.gz
1,2	human	WTC11	cDNA	PacBio	ENCSR507JOF	1	ENCBS944CBA		reads	fastq	ENCFF563QZR		https://www.encodeproject.org/files/ENCFF563QZR/@@download/ENCFF563QZR.fastq.gz		s3://encode-private/2021/02/05/2382755e-9ad8-4c1c-ba9d-00d0ff9fe05d/ENCFF563QZR.fastq.gz	
1,2	human	WTC11	cDNA	PacBio	ENCSR507JOF	1	ENCBS944CBA		subreads	bam	ENCFF112MRR		https://www.encodeproject.org/files/ENCFF112MRR/@@download/ENCFF112MRR.bam		s3://encode-files/2021/02/11/50c35336-9b9b-49a4-a146-b3fae4780cbb/ENCFF112MRR.bam	
1,2	human	WTC11	cDNA	PacBio	ENCSR507JOF	1	ENCBS944CBA		subreads	bam	ENCFF338WQL		https://www.encodeproject.org/files/ENCFF338WQL/@@download/ENCFF338WQL.bam		s3://encode-files/2021/02/11/66e7327e-e88c-4035-867e-07f535c91c28/ENCFF338WQL.bam	
1,2	human	WTC11	cDNA	PacBio	ENCSR507JOF	1	ENCBS944CBA		subreads	bam	ENCFF992WSK		https://www.encodeproject.org/files/ENCFF992WSK/@@download/ENCFF992WSK.bam		s3://encode-files/2021/02/11/fa2fd026-023a-4237-848f-f42039918637/ENCFF992WSK.bam	
1,2	human	WTC11	cDNA	PacBio	ENCSR507JOF	2	ENCBS593PKA		reads	fastq	ENCFF370NFS		https://www.encodeproject.org/files/ENCFF370NFS/@@download/ENCFF370NFS.fastq.gz		s3://encode-private/2021/02/05/7edc41f6-db7d-4ed9-b9dc-66c2be57e5f7/ENCFF370NFS.fastq.gz	
1,2	human	WTC11	cDNA	PacBio	ENCSR507JOF	2	ENCBS593PKA		subreads	bam	ENCFF122GKS		https://www.encodeproject.org/files/ENCFF122GKS/@@download/ENCFF122GKS.bam		s3://encode-files/2021/02/12/4df8bfff-3b4e-4dbc-a270-d7c2043b50d5/ENCFF122GKS.bam	
1,2	human	WTC11	cDNA	PacBio	ENCSR507JOF	2	ENCBS593PKA		subreads	bam	ENCFF455RXJ		https://www.encodeproject.org/files/ENCFF455RXJ/@@download/ENCFF455RXJ.bam		s3://encode-private/2021/02/12/d80cac3a-5d49-4d01-9b7a-6621f2cae130/ENCFF455RXJ.bam	
1,2	human	WTC11	cDNA	PacBio	ENCSR507JOF	2	ENCBS593PKA		subreads	bam	ENCFF875XMU		https://www.encodeproject.org/files/ENCFF875XMU/@@download/ENCFF875XMU.bam		s3://encode-files/2021/02/12/1b0b2673-3b21-4fd5-bd9d-8c726c84c833/ENCFF875XMU.bam	
1,2	human	WTC11	cDNA	PacBio	ENCSR507JOF	3	ENCBS474NOC		reads	fastq	ENCFF245IPA		https://www.encodeproject.org/files/ENCFF245IPA/@@download/ENCFF245IPA.fastq.gz		s3://encode-private/2021/02/05/3e7cc8e0-5df9-4502-9482-c5cad4e5b502/ENCFF245IPA.fastq.gz	
1,2	human	WTC11	cDNA	PacBio	ENCSR507JOF	3	ENCBS474NOC		subreads	bam	ENCFF434SWA		https://www.encodeproject.org/files/ENCFF434SWA/@@download/ENCFF434SWA.bam		s3://encode-files/2021/02/12/16c48deb-6698-4566-aa7f-130053637c94/ENCFF434SWA.bam	
1,2	human	WTC11	cDNA	PacBio	ENCSR507JOF	3	ENCBS474NOC		subreads	bam	ENCFF620NFT		https://www.encodeproject.org/files/ENCFF620NFT/@@download/ENCFF620NFT.bam		s3://encode-files/2021/02/12/08a43517-c0ff-4c32-a459-b63ab07bcff6/ENCFF620NFT.bam	
1,2	human	WTC11	cDNA	PacBio	ENCSR507JOF	3	ENCBS474NOC		subreads	bam	ENCFF962OWJ		https://www.encodeproject.org/files/ENCFF962OWJ/@@download/ENCFF962OWJ.bam		s3://encode-files/2021/02/12/01c06c2e-392a-4ba7-a874-226b9c276bfd/ENCFF962OWJ.bam	
1,2	human	WTC11	cDNA	ONT	ENCSR539ZXJ	1	ENCBS944CBA	600-5000	reads	fastq	ENCFF263YFG		https://www.encodeproject.org/files/ENCFF263YFG/@@download/ENCFF263YFG.fastq.gz		s3://encode-private/2021/04/12/e0758800-e18e-4828-af1f-68aa7abfcd3d/ENCFF263YFG.fastq.gz	
1,2	human	WTC11	cDNA	ONT	ENCSR539ZXJ	1	ENCBS944CBA	600-5000	nanopore_signal	tar	ENCFF585AMS		https://www.encodeproject.org/files/ENCFF585AMS/@@download/ENCFF585AMS.tar.gz		s3://encode-private/2021/04/12/0a844e70-49bf-492b-a759-349a3427730b/ENCFF585AMS.tar.gz	
1,2	human	WTC11	cDNA	ONT	ENCSR539ZXJ	2	ENCBS593PKA	600-5000	reads	fastq	ENCFF023EXJ		https://www.encodeproject.org/files/ENCFF023EXJ/@@download/ENCFF023EXJ.fastq.gz		s3://encode-private/2021/04/12/65b28dfd-d906-4c29-8087-48cf4afd6c24/ENCFF023EXJ.fastq.gz	
1,2	human	WTC11	cDNA	ONT	ENCSR539ZXJ	2	ENCBS593PKA	600-5000	nanopore_signal	tar	ENCFF737GVV		https://www.encodeproject.org/files/ENCFF737GVV/@@download/ENCFF737GVV.tar.gz		s3://encode-private/2021/04/12/c9bc2e9e-f1a4-4fc6-b8c1-5293ea6ab9e5/ENCFF737GVV.tar.gz	
1,2	human	WTC11	cDNA	ONT	ENCSR539ZXJ	3	ENCBS474NOC	600-5000	reads	fastq	ENCFF961HLO		https://www.encodeproject.org/files/ENCFF961HLO/@@download/ENCFF961HLO.fastq.gz		s3://encode-private/2021/04/12/d6b066bf-53c5-4646-b4e7-6e8574ecb078/ENCFF961HLO.fastq.gz	
1,2	human	WTC11	cDNA	ONT	ENCSR539ZXJ	3	ENCBS474NOC	600-5000	nanopore_signal	tar	ENCFF510ABH		https://www.encodeproject.org/files/ENCFF510ABH/@@download/ENCFF510ABH.tar.gz		s3://encode-private/2021/04/12/ddc8a29f-9087-41f8-8ac6-a3c7471e7003/ENCFF510ABH.tar.gz	
1,2	human	H1_mix	CapTrap	PacBio	ENCSR743SKO	1	ENCBS464AKI,ENCBS664DSZ		reads	fastq	ENCFF705IEA		https://www.encodeproject.org/files/ENCFF705IEA/@@download/ENCFF705IEA.fastq.gz		s3://encode-private/2021/03/26/40d8d6e8-01b4-46c6-8bde-e93c6e317e48/ENCFF705IEA.fastq.gz	
1,2	human	H1_mix	CapTrap	PacBio	ENCSR743SKO	1	ENCBS464AKI,ENCBS664DSZ		subreads	bam	ENCFF073YYF		https://www.encodeproject.org/files/ENCFF073YYF/@@download/ENCFF073YYF.bam		s3://encode-files/2021/03/26/9327ed2b-0269-465d-838b-fafb6bddc7e8/ENCFF073YYF.bam	
1,2	human	H1_mix	CapTrap	PacBio	ENCSR743SKO	2	ENCBS012DYC,ENCBS872CFG		reads	fastq	ENCFF885YGF		https://www.encodeproject.org/files/ENCFF885YGF/@@download/ENCFF885YGF.fastq.gz		s3://encode-private/2021/03/26/9f12b549-d45e-45c2-8d8b-9ac446f53eaf/ENCFF885YGF.fastq.gz	
1,2	human	H1_mix	CapTrap	PacBio	ENCSR743SKO	2	ENCBS012DYC,ENCBS872CFG		subreads	bam	ENCFF509GUL		https://www.encodeproject.org/files/ENCFF509GUL/@@download/ENCFF509GUL.bam		s3://encode-files/2021/03/26/1478332f-6ffa-4638-8c1a-a6b8614484c5/ENCFF509GUL.bam	
1,2	human	H1_mix	CapTrap	PacBio	ENCSR743SKO	3	ENCBS667PZC,ENCBS971DDS		reads	fastq	ENCFF822IZD		https://www.encodeproject.org/files/ENCFF822IZD/@@download/ENCFF822IZD.fastq.gz		s3://encode-private/2021/03/26/7b174c5d-183b-4ac2-9583-948e7032869d/ENCFF822IZD.fastq.gz	
1,2	human	H1_mix	CapTrap	PacBio	ENCSR743SKO	3	ENCBS667PZC,ENCBS971DDS		subreads	bam	ENCFF499AVA		https://www.encodeproject.org/files/ENCFF499AVA/@@download/ENCFF499AVA.bam		s3://encode-files/2021/03/26/2be1b421-c6f1-433f-b07f-226bdec93ce4/ENCFF499AVA.bam	
1,2	human	H1_mix	CapTrap	ONT	ENCSR364OLS	1	ENCBS464AKI,ENCBS664DSZ		reads	fastq	ENCFF716HXZ		https://www.encodeproject.org/files/ENCFF716HXZ/@@download/ENCFF716HXZ.fastq.gz		s3://encode-files/2021/04/10/05181e4d-0c1e-4043-a1ec-df972fad611f/ENCFF716HXZ.fastq.gz	
1,2	human	H1_mix	CapTrap	ONT	ENCSR364OLS	1	ENCBS464AKI,ENCBS664DSZ		nanopore_signal	tar	ENCFF797VHT		https://www.encodeproject.org/files/ENCFF797VHT/@@download/ENCFF797VHT.tar.gz		s3://encode-private/2021/04/10/c8942280-faa5-48b9-861d-2bd8d7c545be/ENCFF797VHT.tar.gz	
1,2	human	H1_mix	CapTrap	ONT	ENCSR364OLS	2	ENCBS012DYC,ENCBS872CFG		reads	fastq	ENCFF595GFC		https://www.encodeproject.org/files/ENCFF595GFC/@@download/ENCFF595GFC.fastq.gz		s3://encode-files/2021/04/10/edb0ef3e-1457-4ef3-b9ac-e7488b232b3c/ENCFF595GFC.fastq.gz	
1,2	human	H1_mix	CapTrap	ONT	ENCSR364OLS	2	ENCBS012DYC,ENCBS872CFG		nanopore_signal	tar	ENCFF571LYR		https://www.encodeproject.org/files/ENCFF571LYR/@@download/ENCFF571LYR.tar.gz		s3://encode-private/2021/04/10/e812105b-6418-4896-b2ab-b1b4b74d9a9e/ENCFF571LYR.tar.gz	
1,2	human	H1_mix	CapTrap	ONT	ENCSR364OLS	3	ENCBS667PZC,ENCBS971DDS		reads	fastq	ENCFF072FJA		https://www.encodeproject.org/files/ENCFF072FJA/@@download/ENCFF072FJA.fastq.gz		s3://encode-files/2021/04/10/e67578ff-d3e4-4cba-898c-b2636e9b95cd/ENCFF072FJA.fastq.gz	
1,2	human	H1_mix	CapTrap	ONT	ENCSR364OLS	3	ENCBS667PZC,ENCBS971DDS		nanopore_signal	tar	ENCFF317BHX		https://www.encodeproject.org/files/ENCFF317BHX/@@download/ENCFF317BHX.tar.gz		s3://encode-private/2021/04/10/a58fc44d-de18-4233-9cdd-47ed9a84e0b2/ENCFF317BHX.tar.gz	
1,2	human	H1_mix	dRNA	ONT	ENCSR967FTZ	1	ENCBS464AKI,ENCBS664DSZ		reads	fastq	ENCFF854BEI		https://www.encodeproject.org/files/ENCFF854BEI/@@download/ENCFF854BEI.fastq.gz		s3://encode-files/2021/04/07/6a2e84c0-99b0-44b7-aa4a-81a2b39421a7/ENCFF854BEI.fastq.gz	
1,2	human	H1_mix	dRNA	ONT	ENCSR967FTZ	1	ENCBS464AKI,ENCBS664DSZ		nanopore_signal	tar	ENCFF120DLZ		https://www.encodeproject.org/files/ENCFF120DLZ/@@download/ENCFF120DLZ.tar.gz		s3://encode-private/2021/04/07/9a910072-d72f-4e3f-8b29-3dbe4ecf7359/ENCFF120DLZ.tar.gz	
1,2	human	H1_mix	dRNA	ONT	ENCSR967FTZ	2	ENCBS012DYC,ENCBS872CFG		reads	fastq	ENCFF804BPC		https://www.encodeproject.org/files/ENCFF804BPC/@@download/ENCFF804BPC.fastq.gz		s3://encode-files/2021/04/07/a9fa6d20-a2c4-4014-8156-e7ec5194b03f/ENCFF804BPC.fastq.gz	
1,2	human	H1_mix	dRNA	ONT	ENCSR967FTZ	2	ENCBS012DYC,ENCBS872CFG		nanopore_signal	tar	ENCFF336WGD		https://www.encodeproject.org/files/ENCFF336WGD/@@download/ENCFF336WGD.tar.gz		s3://encode-private/2021/04/07/5999524f-9f4b-4009-a14b-a4c2fd4ae07a/ENCFF336WGD.tar.gz	
1,2	human	H1_mix	dRNA	ONT	ENCSR967FTZ	3	ENCBS667PZC,ENCBS971DDS		reads	fastq	ENCFF557WRQ		https://www.encodeproject.org/files/ENCFF557WRQ/@@download/ENCFF557WRQ.fastq.gz		s3://encode-files/2021/04/07/f08ab20a-a369-4309-9fc9-5d16a2fa035a/ENCFF557WRQ.fastq.gz	
1,2	human	H1_mix	dRNA	ONT	ENCSR967FTZ	3	ENCBS667PZC,ENCBS971DDS		nanopore_signal	tar	ENCFF316TNM		https://www.encodeproject.org/files/ENCFF316TNM/@@download/ENCFF316TNM.tar.gz		s3://encode-private/2021/04/07/87b1fc5b-1bef-4cf3-b309-372e353888af/ENCFF316TNM.tar.gz	
1,2	human	H1_mix	R2C2	ONT	ENCSR096PNA	1	ENCBS464AKI,ENCBS664DSZ	2000-10000	reads	fasta	ENCFF947MTX		https://www.encodeproject.org/files/ENCFF947MTX/@@download/ENCFF947MTX.fasta.gz		s3://encode-files/2021/04/14/a299480a-97ec-4676-aece-7574054ab20f/ENCFF947MTX.fasta.gz	
1,2	human	H1_mix	R2C2	ONT	ENCSR096PNA	1	ENCBS464AKI,ENCBS664DSZ	2000-10000	reads	fastq	ENCFF438GQV		https://www.encodeproject.org/files/ENCFF438GQV/@@download/ENCFF438GQV.fastq.gz		s3://encode-files/2021/04/14/319251cb-c3e5-4945-afe0-f601402a52f5/ENCFF438GQV.fastq.gz	
1,2	human	H1_mix	R2C2	ONT	ENCSR096PNA	2	ENCBS012DYC,ENCBS872CFG	2000-10000	reads	fasta	ENCFF979MUK		https://www.encodeproject.org/files/ENCFF979MUK/@@download/ENCFF979MUK.fasta.gz		s3://encode-files/2021/04/14/c6b62489-597c-4678-b58a-ea077e5fe2e5/ENCFF979MUK.fasta.gz	
1,2	human	H1_mix	R2C2	ONT	ENCSR096PNA	2	ENCBS012DYC,ENCBS872CFG	2000-10000	reads	fastq	ENCFF433QSW		https://www.encodeproject.org/files/ENCFF433QSW/@@download/ENCFF433QSW.fastq.gz		s3://encode-files/2021/04/14/7abefe0d-4888-48ef-b310-99313c75a64f/ENCFF433QSW.fastq.gz	
1,2	human	H1_mix	R2C2	ONT	ENCSR096PNA	3	ENCBS667PZC,ENCBS971DDS	2000-10000	reads	fasta	ENCFF379KHH		https://www.encodeproject.org/files/ENCFF379KHH/@@download/ENCFF379KHH.fasta.gz		s3://encode-files/2021/04/14/3813ca84-f62e-463a-85e5-f8655f2f8e93/ENCFF379KHH.fasta.gz	
1,2	human	H1_mix	R2C2	ONT	ENCSR096PNA	3	ENCBS667PZC,ENCBS971DDS	2000-10000	reads	fastq	ENCFF348EXF		https://www.encodeproject.org/files/ENCFF348EXF/@@download/ENCFF348EXF.fastq.gz		s3://encode-files/2021/04/14/0ef69ba1-2ecf-4d89-bfed-fb1ab2159535/ENCFF348EXF.fastq.gz	
1,2	human	H1_mix	R2C2	ONT	ENCSR472FCO	1	ENCBS464AKI,ENCBS664DSZ		reads	fasta	ENCFF672BIU		https://www.encodeproject.org/files/ENCFF672BIU/@@download/ENCFF672BIU.fasta.gz		s3://encode-files/2021/04/14/b464bfa0-f51b-4762-9d3a-aadfd1c9c7bf/ENCFF672BIU.fasta.gz	
1,2	human	H1_mix	R2C2	ONT	ENCSR472FCO	1	ENCBS464AKI,ENCBS664DSZ		reads	fastq	ENCFF918TKZ		https://www.encodeproject.org/files/ENCFF918TKZ/@@download/ENCFF918TKZ.fastq.gz		s3://encode-files/2021/04/14/d78dfc7e-f6be-4700-9a46-9c0946a8eb53/ENCFF918TKZ.fastq.gz	
1,2	human	H1_mix	R2C2	ONT	ENCSR472FCO	2	ENCBS012DYC,ENCBS872CFG		reads	fasta	ENCFF092GJH		https://www.encodeproject.org/files/ENCFF092GJH/@@download/ENCFF092GJH.fasta.gz		s3://encode-files/2021/04/14/ce38c0a2-a60a-4522-a2ea-faf3dcaefd0d/ENCFF092GJH.fasta.gz	
1,2	human	H1_mix	R2C2	ONT	ENCSR472FCO	2	ENCBS012DYC,ENCBS872CFG		reads	fastq	ENCFF923NYH		https://www.encodeproject.org/files/ENCFF923NYH/@@download/ENCFF923NYH.fastq.gz		s3://encode-files/2021/04/14/384791e5-f160-4f56-ac43-1ba227f81bfe/ENCFF923NYH.fastq.gz	
